,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,WaveletMaskAmount,SR,DualSR,ValidPRP,SourceInfo,Level,Clusters,TestImg,Entropy_Uniform,PSNR_Uniform,SSIM_Uniform
57,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,4,16,lenna.bmp,1.2455368033966776,25.03741229193715,0.6659308759585466
58,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,4,32,lenna.bmp,1.9676821913363838,29.93273754830442,0.8042545087670835
59,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,4,64,lenna.bmp,2.836590062510948,36.69548209323764,0.9498437386021381
60,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,4,128,lenna.bmp,3.7760244179991385,42.89536390202447,0.9873052785279858
61,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,4,256,lenna.bmp,4.716811372149309,48.18341964291988,0.9958562235299719
62,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,4,512,lenna.bmp,5.6145137666177165,54.808423423180145,0.9991546113120506
63,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,5,8,lenna.bmp,0.6158275830480032,15.020286309374695,0.21212122070084588
64,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,5,16,lenna.bmp,1.2938209300349852,24.365655936677193,0.6305971058035224
65,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,5,32,lenna.bmp,1.950090001790396,29.171906316451633,0.7710113734884536
66,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,5,64,lenna.bmp,2.8279582557982033,36.02094992722127,0.9405402546585292
