,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,WaveletMaskAmount,SR,DualSR,ValidPRP,SourceInfo,Level,TestImg,PSNR_gaussian_bayes,SSIM_gaussian_bayes,PSNR_snp_bayes,SSIM_snp_bayes,PSNR_gaussian_visu,SSIM_gaussian_visu,PSNR_snp_visu,SSIM_snp_visu
34,Q0_NI_16_C2_4C_D4SXY_FLL2,Frame-like Dual Wavelet System,Best In Cube-2,4-Compatible In Cube-2,"D4 With Center (1/2,1/2) ",QuincunxRotation,2,6,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.60294055902136,0.2970189078741359,11.418185443484017,0.18994744510103095,35.184578925188035,0.9152525565345273,35.184578925188035,0.9152525565345273
35,Q0_NI_08_SS_4C_D4SXY_TF,Tight Wavelet Frame,Custom In Cube-2,4-Compatible In Cube-2,"D4 With Center (1/2,1/2) ",QuincunxRotation,3,4,4,True,"Created by the algorithm in paper ""Symmetric Canonical Quincunx Tight Framelets with High Vanishing Moments and Smoothness"" by B. Han, Q. Jiang, Z. Shen, X. Zhuang, 2015, Mathematics of Computation, 87 (309), 347-379",5,lenna.bmp,18.70243313160718,0.2965028131465382,11.422974438651439,0.18720662955080886,37.18808544971248,0.9303056359653346,37.18808544971248,0.9303056359653346
36,Q0_NI_08_SS_2C_D4SXY_FLL2,Frame-like Dual Wavelet System,Custom In Cube-2,2-Compatible In Cube-1,"D4 With Center (1/2,1/2) ",QuincunxRotation,2,4,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.781625561401476,0.28594122149894463,11.445669600057826,0.1914314017728438,34.79809877289202,0.9177465594376346,34.79809877289202,0.9177465594376346
37,Q0_NI_08_SS_4C_D4SXY_FLL2,Frame-like Dual Wavelet System,Custom In Cube-2,4-Compatible In Cube-2,"D4 With Center (1/2,1/2) ",QuincunxRotation,2,4,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.747556105630622,0.29552763322819214,11.412342635854387,0.18726261500219651,35.6232864862167,0.9216924497991128,35.6232864862167,0.9216924497991128
38,Q0_NI_09_SS_2C_D4_FLL2,Frame-like Dual Wavelet System,Best In Special,2-Compatible In Rhomb-1,D4,QuincunxRotation,2,4,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.661818194230783,0.2928738108547625,11.441563529365634,0.1935816523948194,33.334576788917765,0.9062174065136781,33.334576788917765,0.9062174065136781
39,Q0_NI_09_SS_4C_D4_FLL2,Frame-like Dual Wavelet System,Best In Special,4-Compatible In Rhomb-2,D4,QuincunxRotation,2,4,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.60639839258748,0.2973086635796395,11.444727163658,0.19077506054965668,36.12864553221736,0.926496087679103,36.12864553221736,0.926496087679103
40,Q0_NI_13_R2S_4C_D4_FR,Dual Wavelet Frame,Custom in Rhomb-2,4-Compatible In Rhomb-3,D4,QuincunxRotation,2,4,2,True,"Created by the algorithm in paper ""Bi-frames with 4-fold axial symmetry for quadrilateral surface multiresolution processing"" by Q. Jiang, 2010, CAM 234 (12), 3303-3325",5,lenna.bmp,18.61631787663743,0.2956374571620027,11.441943026783047,0.19108178950166957,36.51152577020634,0.9240029184618326,36.51152577020634,0.9240029184618326
41,Q0_NI_13_R2S_2C_D4_FLL2,Frame-like Dual Wavelet System,Custom in Rhomb-2,2-Compatible In Cube-1,D4,QuincunxRotation,2,4,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.686146662387483,0.29220664696190457,11.459643133223567,0.1915915443068041,32.60507934923702,0.9046838990643906,32.60507934923702,0.9046838990643906
42,Q0_NI_13_R2S_4C_D4_FL,Frame-like Dual Wavelet System,Custom in Rhomb-2,4-Compatible In Cube-1,D4,QuincunxRotation,2,4,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,19.100938808638087,0.3141499623532424,11.47493590276487,0.18894064311650252,37.246948619716825,0.9491358168328797,37.246948619716825,0.9491358168328797
43,Q1_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Haar,Delta Function,No Symmetry,QuincunxReflection,1,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",5,lenna.bmp,18.583794197086387,0.29607000820641644,11.448311504562433,0.18960552902964756,30.472775314074102,0.8208815020551613,30.472775314074102,0.8208815020551613
